Town,EMILY PEYTON,ERYNN HAZLETT WHITNEY,DAVID ZUCKERMAN,MICHAEL A. DEVOST,PHIL SCOTT,KEVIN HOYT,WAYNE BILLADO III,CHARLY DICKERSON,JOHN KLAR(Write-In),Spoiled Votes,Blank Votes,Total Write-ins,Total Votes,Winner,Winner percent
ADDISON,8,7,145,1,680,7,2,7,0,1,12,4,874,PHIL SCOTT,77.80320366
ALBANY,9,1,106,5,393,12,3,0,0,1,9,7,546,PHIL SCOTT,71.97802198
ALBURGH,12,4,195,3,817,10,22,3,0,0,19,3,1088,PHIL SCOTT,75.09191176
ANDOVER,4,3,93,1,244,10,1,0,0,0,11,1,368,PHIL SCOTT,66.30434783
ARLINGTON,7,54,385,2,922,78,3,4,0,0,0,0,1455,PHIL SCOTT,63.36769759
ATHENS,8,1,67,0,128,6,0,0,0,4,0,0,214,PHIL SCOTT,59.81308411
BAKERSFIELD,8,2,128,1,539,8,5,2,0,0,5,0,701,PHIL SCOTT,76.89015692
BALTIMORE,1,2,28,1,101,1,0,1,0,0,4,4,143,PHIL SCOTT,70.62937063
BARNARD,8,6,198,0,447,1,1,1,0,0,10,0,674,PHIL SCOTT,66.32047478
BARNET,8,8,254,7,769,14,1,7,0,0,26,10,1104,PHIL SCOTT,69.6557971
BARRE CITY,45,14,829,8,2796,37,13,7,0,0,0,0,3749,PHIL SCOTT,74.57988797
BARRE TOWN,30,13,590,5,3997,68,8,20,0,3,79,26,4839,PHIL SCOTT,82.59971068
BARTON,12,5,257,23,931,11,7,1,18,0,37,0,1307,PHIL SCOTT,71.23182862
BELVIDERE,2,0,28,1,139,1,2,1,0,0,2,2,178,PHIL SCOTT,78.08988764
BENNINGTON,89,134,2157,28,3784,627,29,23,0,0,0,0,6871,PHIL SCOTT,55.07204192
BENSON,7,8,99,2,414,16,2,5,13,0,13,0,592,PHIL SCOTT,69.93243243
BERKSHIRE,10,4,107,7,549,13,9,2,0,0,12,8,721,PHIL SCOTT,76.14424411
BERLIN,13,4,316,2,1176,8,5,5,0,0,17,5,1551,PHIL SCOTT,75.82205029
